TPN,Date,,001-PCC000015-E,001-PCCSY5R13-E,102-PCC000013-E,102-PCCPSU003-E,111-CGC000012-M,115-PCC000011-E,115-PCC000013-E,120-CGC000040-M,130-PCC000021-E,130-PCC000053-E,140-PCC000004-E,140-PCC000009-E,141-PCC000001-E,141-PCC000011-E,160-CDC000049-M,160-CDC000064-M,160-CDC000065-M,160-CDC000068-M,170-CCA000005-M,170-CCA000022-M,170-CCA000032-M,170-CCA000033-M,170-CDA000010-M,170-CDA000024-M,170-CGC000005-M,170-CGC000006-M,170-CGC000041-M,170-CGC000051-M,170-CGC000056-M,170-CGC000058-M,170-CGC000059-M,170-CGC000098-M,170-PCC000003-E,170-PCC000016-E,170-PCC000019-E,170-PCC000043-E,170-PCC000065-E,401-PCC000007-E,404-PCC000004-E,998-BBC000006-E,998-BZA000769-X,998-BZA000857-X,998-CECSPP012-M,998-CECSPP013-M,998-CFA000006-M,998-CFC000001-M,998-CIC000008-E,998-CPC000066-M,998-CPC000068-M,998-CPC000132-M,998-CPC000205-M,998-CPC000207-M,998-CPC000208-M,998-CPC000570-M,998-CPC000599-M,998-CPC000600-M,998-CPC000601-M,998-CPC000635-M,998-CPC000952-M,998-CPC000953-M,999-ABC000001-E,999-ABC000002-E,999-ABC000006-E,999-ABC000007-E,999-ACC000009-E,999-ACC000010-E,999-ACC000012-E,999-ACC000013-E,999-ACC000023-E,999-ACC000029-E,999-ACC000035-E,999-ACC000038-E,999-ACC000050-E,999-ACC000051-E,999-ACC000052-E,999-ACC000053-E,999-ACC000058-E,999-ACC000060-E,999-ACC000061-E,999-ACC000065-E,999-ACC000066-E,999-ACC000067-E,999-ACC000068-E,999-ACC000070-E,999-ACC000071-E,999-ACC000072-E,999-ACC000073-E,999-ACC000076-E,999-ACC000078-E,999-ACC000083-E,999-ACC000093-E,999-ACC000095-E,999-ACC000099-E,999-ACC000100-E,999-ACC000116-E,999-ACC000120-E,999-ACC000121-E,999-ACC000123-E,999-ACC000124-E,999-ACC000126-E,999-ACC000134-E,999-ACC000135-E,999-ACC000138-E,999-ACC000142-E,999-ACC000158-E,999-ACC000170-E,999-ACC000174-E,999-ACC000186-E,999-ACC000197-E,999-ACC000204-E,999-ACC000208-E,999-ACC000220-E,999-ACC000230-E,999-ACC000232-E,999-ACC000238-E,999-ACC000366-E,999-ACC000367-E,999-ACC000390-E,999-ACC315026-E,999-ACC315502-E,999-ACC315503-E,999-ACC316026-E,999-ACC316027-E,999-ACC316029-E,999-ACC316252-E,999-ACC316255-E,999-ACC316501-E,999-ACC316504-E,999-ACC316751-E,999-ACC317501-E,999-ACC326026-E,999-ACC326027-E,999-ACC326502-E,999-ACC326504-E,999-ACC326750-E,999-ACC327501-E,999-ACC546502-E,999-ACC556750-E,999-ACC757501-E,999-ACC757502-E,999-ACC757503-E,999-ACC7C6501-E,999-ACCC57751-E,999-ACCE17751-E,999-ACCEA7751-E,999-ADC000001-E,999-ADC000016-E,999-ADC000018-E,999-ADC000029-E,999-ADC000031-E,999-ADC000038-E,999-ADC837001-E,999-ADC857001-E,999-ADC8XX001-E,999-ADCD87752-E,999-AEC856751-E,999-AHC000001-E,999-AHC000004-E,999-AHC000005-E,999-AHC000006-E,999-AHC916751-E,999-AHC926001-E,999-AHC936001-E,999-AHCA16001-E,999-AIC000001-E,999-AIC000005-E,999-AIC000006-E,999-AIC000007-E,999-AIC000008-E,999-AIC000009-E,999-AIC000011-E,999-AIC000012-E,999-AIC000016-E,999-AIC000019-E,999-AIC000026-E,999-AIC000030-E,999-AIC000032-E,999-AIC000036-E,999-AIC000044-E,999-AIC000046-E,999-AIC000051-E,999-AIC000063-E,999-AIC000065-E,999-AIC000068-E,999-AIC000069-E,999-AIC000077-E,999-AIC000080-E,999-AIC000092-E,999-AIC000107-E,999-AIC000128-E,999-AIC800005-E,999-AJC000002-E,999-AJC000008-E,999-AJC000009-E,999-AJC000015-E,999-AJC000019-E,999-AJC000039-E,999-AJC000040-E,999-AJC000046-E,999-AJC000062-E,999-AJC000069-E,999-AJC000070-E,999-AKC000006-E,999-AMC000007-E,999-AMC000009-E,999-AOC000010-E,999-AOC000016-E,999-AOC000028-E,999-AOC000066-E,999-AOC000069-E,999-AOC000077-E,999-AOC000086-E,999-AOC000094-E,999-AOC000132-E,999-AOC000133-E,999-ARC000002-E,999-ARC000003-E,999-ARC000004-E,999-ARC000005-E,999-AXC000001-E,999-AXC000002-E,999-AXC000003-E,999-AXC000006-E,999-AXC000009-E,999-AXC000013-E,999-AXC000018-E,999-AXC000023-E,999-AXC000035-E,999-AXC000039-E,999-AXC000044-E,999-AXC000049-E,999-AXC000071-E,999-AXC000094-E,999-AXC000106-E,999-AXC800004-E,999-AXCOP0096-E,999-AXCT00084-E,999-AXCT00086-E,999-AYC000006-E,999-AYC000007-E,999-AYC000014-E,999-AYC000023-E,999-AYC000024-E,999-AYC000028-E,999-AYC000035-E,999-AYC000037-E,999-AYC000038-E,999-AYC000039-E,999-AYC000046-E,999-AYC000050-E,999-AYC000053-E,999-AYC000054-E,999-AYC000061-E,999-AYC000064-E,999-AYC000069-E,999-AYC000070-E,999-AYC000073-E,999-AYC000074-E,999-AYC000108-E,999-AYC000138-E,999-AYC000163-E,999-AYC000184-E,999-AYC000200-E,999-AYC000201-E,999-AYC000202-E,999-AYC000203-E,999-AYC000204-E,999-AYC000205-E,999-AYC000206-E,999-AYC000207-E,999-AYC000208-E,999-AYC000209-E,999-AYC000210-E,999-AYC000211-E,999-AYC000212-E,999-AYC000213-E,999-AYC000214-E,999-AYC000215-E,999-AYC000216-E,999-AYC000217-E,999-AYC000218-E,999-AYC000219-E,999-AYC000220-E,999-AYC000221-E,999-AYC000222-E,999-AYC000223-E,999-AYC000224-E,999-AYC000225-E,999-AYC000229-E,999-AYC000230-E,999-AYC000233-E,999-AYC000234-E,999-AYC000254-E,999-AYC000258-E,999-AYC000263-E,999-AYC000285-E,999-AYC000293-E,999-AYC000296-E,999-AYC000300-E,999-AYC000306-E,999-AYC000316-E,999-AYC000318-E,999-AYC000325-E,999-AYC000331-E,999-AYC000339-E,999-AYC000340-E,999-AYC000345-E,999-AYC000348-E,999-AYC000367-E,999-AYC000372-E,999-AYC000377-E,999-AYC000382-E,999-AYC000392-E,999-AYC000394-E,999-AYC000444-E,999-AYC000464-E,999-AYC000477-E,999-AYC000556-E,999-AYC000557-E,999-AYC000611-E,999-AYC393250-E,999-AYC393252-E,999-AYC393502-E,999-AYC393503-E,999-AYC393508-E,999-AYC393509-E,999-AYC393512-E,999-AYC393513-E,999-AYC393514-E,999-AYC393516-E,999-AYC395001-E,999-AYC395004-E,999-AYC395251-E,999-AYC395252-E,999-AYC395253-E,999-AYC395255-E,999-AYC395256-E,999-AYC395257-E,999-AYC395259-E,999-AYC395268-E,999-AYC395269-E,999-AYC395272-E,999-AYC395275-E,999-AYC395501-E,999-AYC395506-E,999-AYC395507-E,999-AYC395509-E,999-AYC395512-E,999-AYC395514-E,999-AYC395516-E,999-AYC395518-E,999-AYC395521-E,999-AYC395525-E,999-AYC395529-E,999-AYC395531-E,999-AYC395532-E,999-AYC395533-E,999-AYC395534-E,999-AYC395535-E,999-AYC395750-E,999-AYC593502-E,999-AYC595001-E,999-AYC595259-E,999-AYC595500-E,999-AYC595504-E,999-AYC595750-E,999-AYC815251-E,999-AYC815501-E,999-AYCB93501-E,999-AYCGA3250-E,999-AYCGA3251-E,999-AYCGA3252-E,999-AYCGA3253-E,999-AYCGA3254-E,999-AYCGA3255-E,999-AYCGA3502-E,999-AYCGA3503-E,999-AYCGA3504-E,999-AYCGA3505-E,999-AYCGA3507-E,999-AYCGA3508-E,999-AYCGA5002-E,999-AZC000001-E,999-AZC000006-E,999-AZC000007-E,999-AZC000009-E,999-AZC000011-E,999-AZC000012-E,999-BAC000002-E,999-BAC000004-E,999-BBC000040-E,999-BBC000090-E,999-BCC000001-E,999-BCC000002-E,999-BEC000089-E,999-BEC000111-E,999-BEC000122-E,999-BEC000142-E,999-BEC000143-E,999-BEC000148-E,999-BEC000155-E,999-BEC000166-E,999-BEC000192-E,999-BEC000220-E,999-BEC000233-E,999-BEC000236-E,999-BEC000287-E,999-BEC000289-E,999-BEC000292-E,999-BGC000002-E,999-BGC000022-E,999-BGC000057-E,999-BGC000059-E,999-BGC000083-E,999-BGC000092-E,999-BHC000001-E,999-BJC000008-E,999-BJC000011-E,999-BKC000021-E,999-BOC000001-E,999-BOC000007-E,999-BPC000026-E,999-BPC000038-E,999-BPC000052-E,999-BPC000083-E,999-BPC000110-E,999-BPC000111-E,999-BRC000047-E,999-BRC000050-E,999-BRC000082-E,999-BUC000001-E,999-BUC000008-E,999-BUC000011-E,999-BVC000001-E,999-BVC000003-E,999-BVC000069-E,999-BVC000081-E,999-BVC000083-E,999-BVC000094-E,999-BVC000096-E,999-BVC000167-E,999-BVC000169-E,999-CAC000001-E,999-CAC000004-E,999-CAC000006-E,999-CAC000013-E,999-CAC000053-E,999-CAC000054-E,999-CAC000061-E,999-CAC000105-E,999-CAC000121-E,999-CAC000173-E,999-CAC000178-E,999-CAC000189-E,999-CAC000193-E,999-CAC000228-E,999-CAC000234-E,999-CAC000266-E,999-CAC000276-E,999-CAC000278-E,999-CAC000279-E,999-CAC000323-E,999-CAC000336-E,999-CAC000343-E,999-CAC000345-E,999-CAC000366-E,999-CAC000378-E,999-CAC000383-E,999-CAC000384-E,999-CAC000406-E,999-CAC000407-E,999-CAC000413-E,999-CAC000419-E,999-CAC000436-E,999-CAC000437-E,999-CAC000498-E,999-CAC000505-E,999-CAC000554-E,999-CAC000559-E,999-CAC000580-E,999-CAC000597-E,999-CAC000608-E,999-CAC000667-E,999-CAC000684-E,999-CAC000718-E,999-CAC000784-E,999-CAC000905-E,999-CAC000909-E,999-CAC000941-E,999-CAC000958-E,999-CAC000992-E,999-CAC001038-E,999-CAC001039-E,999-CAC001244-E,999-CAC001281-E,999-CAC001283-E,999-CBC000001-E,999-CBC000029-E,999-CBC000045-E,999-CBC000046-E,999-CBC000092-E,999-CBCLP0002-E,999-CECCAC019-M,999-CECNSS002-M,999-CECSMX008-M,999-CECSMX014-M,999-CECSMX017-M,999-CECSMX021-M,999-CECSMX022-M,999-CECSPX006-M,999-CECSPX008-M,999-CECSRX011-M,999-CECSRX012-M,999-CECWPS005-M,999-CFC000005-M,999-CFC000037-M,999-CFC000045-M,999-CFC000050-M,999-CFC000072-M,999-CFC000101-M,999-CFC000102-M,999-CFC000112-M,999-CFC000119-M,999-CFC000120-M,999-CIC000032-E,999-CIC000040-E,999-CIC000050-E,999-CIC000054-E,999-CJC000001-E,999-CJC000002-M,999-CJC000003-M,999-CKC000019-E,999-CKC000021-E,999-CKC000022-E,999-CKC000029-E,999-CKC000032-E,999-CKC000040-E,999-CKC000062-E,999-CKC000138-E,999-CLC000017-E,999-CLC000023-E,999-CLC000029-E,999-CLC000054-E,999-CLC000089-E,999-CLC000091-E,999-CLC000095-E,999-CLC000111-E,999-CLC000114-E,999-CLC000128-E,999-CLC000141-E,999-CLC000152-E,999-CLC000162-E,999-CLC000164-E,999-CLC000167-E,999-CLC000173-E,999-CLC000178-E,999-CLC000185-E,999-CLC000200-E,999-CLC000204-E,999-CLC000207-E,999-CLC000211-E,999-CLC000216-E,999-CLC000221-E,999-CLC000224-E,999-CLC000243-E,999-CLC000249-E,999-CLC000259-E,999-CLC000260-E,999-CLC000278-E,999-CLC000293-E,999-CLC000380-E,999-CLC000398-E,999-CLC000554-E,999-CMC000137-E,999-CMCT00054-E
1099,22-Nov-14,2014244079/2014244274/2014244296,,,,,,,,,,,,,,,,,,,,,,,105,120,,,,,,,,,,,120,,,,,,110,8,,,,,,,423,100,,,1000,,,,,,,,,,,,,,,3600,1000,,,200,,,,,,,3300,200,,,200,,,,,,,600,,,,25750,,2400,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,200,,,,,,,,,,,,200,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,233,,,,,,,550,,,,,,340,1700,,,,,,,,,,700,,250,350,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,1500,,,,,,,400,,2000,,,,,,,,,500,250,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,5251,,,200,,9650,,,,,,,,,,,,,,,,,1016,6400,1100,,500,800,,,,2500,,,,,1700,,,,,,,250,,200,,,,,,300,,,,,,,,,,,2809,,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,300,,,,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,200,700,,,,,,,120,,,,,,,,,110,,,,700,,1300,,,,,,,,220,,,,,,,,,,,213,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,350,,150,,,,,78,,,,,,,,,
1107,24-Nov-14,2014244374,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,
1116,24-Nov-14,2014244597/599,150,,,,150,,,,,,,,,,,150,,,150,,,,,,,150,,,,,,,154,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150,,,1950,216,300,,,,390,,500,,260,,,,,,,,,,,,,,,,,,465,,,,422,200,,,,,,,760,,150,,,,,500,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,400,,,150,,150,,,,,,,,,,,,,,680,,,,,,,,,,,,,,,,370,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,,,,,,,,,,,,,2517,,,,,12520,,,,,,,,,,,,,548,,,,,,,,,,,900,,,260,200,,,,260,200,,,,800,200,620,260,,200,200,,,,,,,,,,,700,,,,,,,196,,,,,,,,,,,,,,,,262,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,496,,,,,,,,,160,,250,,,,,150,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,1200,,680,,,,,,,,,,,,,157,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,24-Nov-14,2014244598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,400,,,150,397,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,900,,,,,,,,,,,150,612,150,,108,,,,,,,,,300,,,,,,,,,450,469,,,,200,550,172,,,,,120,,2030,,,,500,200,,,,,,,,,,,,,,550,,,,,,,,,1196,,,,,,,,,,,,,,,,86,150,300,200,,,200,,,200,,,,,,,,,,,200,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,300,,,10000,1383,,,200,650,,,,,,305,,,,,,,,575,,,,,,,,,,,200,,,200,,,,460,200,,343,460,223,200,,250,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,50,35,,,,,,,,,,,,,,,,,,,,500,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,25-Nov-14,2014244765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,350,150,,,,,,,,,,,,,,,,150,150,,150,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,145,,115,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,,1201407766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
