Tejas Document Number,Document Date,Annexure Number,Annexure Date,Serial Number,Item Description,Quantity,Carried Forward Balance,Balance From Previous Annexure,Job Worker DC Number,Date,Item Description,Board Quantity,Nature of Process Done,Per Board,Consumption,Total Consumption,Balance,Balance C/F to Annexure,Returned,Scrap
2014258159,2/11/2015,1594,2/12/2015,1,130-CCA000020-M,22,2,1342,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,1,5,24,0,,0,0
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,245,09-Feb-16,130-PCA000207-E,3,ASSEMBLY,1,3,,,,,
2014258159,2/11/2015,1594,2/12/2015,2,130-CDC000115-M,52,16,1337,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,2,20,68,0,,0,0
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,2,20,,,,,
,,,,,,,,,245,09-Feb-16,130-PCA000207-E,3,ASSEMBLY,2,6,,,,,
2014258159,2/11/2015,1594,2/12/2015,3,130-CGC000120-M,25,2,1337,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,1,5,24,0,,3,0
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,245,09-Feb-16,130-PCA000207-E,3,ASSEMBLY,1,3,,,,,
2014258159,2/11/2015,1594,2/12/2015,4,130-CGC000154-M,4,9,1337,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,1,10,10,3,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,5,130-PCC000053-E,60,11,1593,,,,,,,,0,0,,70,1
2014258159,2/11/2015,1594,2/12/2015,6,170-CDA000010-M,66,16,1337,274,16-Mar-15,170-PCA000002-E,50,ASSEMBLY,1,50,50,32,1782,0,0
2014258159,2/11/2015,1594,2/12/2015,7,170-CGC000005-M,100,17,1337,274,16-Mar-15,170-PCA000002-E,50,ASSEMBLY,1,50,106,11,1907,0,0
,,,,,,,,,278,17-Mar-15,170-PCA000002-E,41,ASSEMBLY,1,41,,,,,
,,,,,,,,,304,25-Mar-15,170-PCA000002-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,353,30-Mar-15,170-PCA000002-E,14,ASSEMBLY,1,14,,,,,
2014258159,2/11/2015,1594,2/12/2015,8,170-CGC000051-M,72,15,1337,274,16-Mar-15,170-PCA000002-E,50,ASSEMBLY,1,50,50,37,1782,0,0
2014258159,2/11/2015,1594,2/12/2015,9,170-PCC000003-E,99,2,1593,96,13-Jun-15,170-PCA000003-E,35,ASSEMBLY,1,35,98,0,,0,3
,,,,,,,,,98,15-Jun-15,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,101,16-Jun-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,105,18-Jun-15,170-PCA000003-E,16,ASSEMBLY,1,16,,,,,
,,,,,,,,,111,23-Jun-15,170-PCA000003-E,9,ASSEMBLY,1,9,,,,,
,,,,,,,,,117,26-Jun-15,170-PCA000003-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,119,30-Jun-15,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,126,02-Jul-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,127,07-Jul-15,170-PCA000003-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,190,21-Sep-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,236,19-Jan-16,170-PCA000003-E,2,ASSEMBLY,1,2,,,,,
2014258159,2/11/2015,1594,2/12/2015,10,170-PCC000016-E,240,1,1216,358,30-Mar-15,170-PCA000003-E,20,ASSEMBLY,1,20,232,0,,9,0
,,,,,,,,,359,30-Mar-15,170-PCA000003-E,12,ASSEMBLY,1,12,,,,,
,,,,,,,,,16,21-Apr-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,65,27-May-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,77,03-Jun-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,11,ASSEMBLY,1,11,,,,,
,,,,,,,,,84,06-Jun-15,170-PCA000003-E,14,ASSEMBLY,1,14,,,,,
,,,,,,,,,86,10-Jun-15,170-PCA000003-E,50,ASSEMBLY,1,50,,,,,
,,,,,,,,,93,11-Jun-15,170-PCA000003-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,96,13-Jun-15,170-PCA000003-E,35,ASSEMBLY,1,35,,,,,
,,,,,,,,,98,15-Jun-15,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,101,16-Jun-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,105,18-Jun-15,170-PCA000003-E,16,ASSEMBLY,1,16,,,,,
,,,,,,,,,111,23-Jun-15,170-PCA000003-E,9,ASSEMBLY,1,9,,,,,
,,,,,,,,,117,26-Jun-15,170-PCA000003-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,119,30-Jun-15,170-PCA000003-E,6,ASSEMBLY,1,6,,,,,
,,,,,,,,,126,02-Jul-15,170-PCA000003-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,127,07-Jul-15,170-PCA000003-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,190,21-Sep-15,170-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,236,19-Jan-16,170-PCA000003-E,2,ASSEMBLY,1,2,,,,,
2014258159,2/11/2015,1594,2/12/2015,11,170-PCC000019-E,88,40,1550,48,22-May-15,170-PCA000002-E,45,ASSEMBLY,1,45,128,0,32,0,0
,,,,,,,,,55,23-May-15,170-PCA000002-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,58,25-May-15,170-PCA000002-E,25,ASSEMBLY,1,25,,,,,
,,,,,,,,,60,26-May-15,170-PCA000002-E,50,ASSEMBLY,1,50,,,,,
,,,,,,,,,63,27-May-15,170-PCA000002-E,4,ASSEMBLY,1,4,,,,,
2014258159,2/11/2015,1594,2/12/2015,12,203-CDA000002-M,48,10,1221,,,,,,,,0,58,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,13,203-CDA000003-M,16,10,1221,,,,,,,,0,26,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,14,203-CDA000004-M,68,10,1221,,,,,,,,0,78,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,15,203-CGC000003-M,63,10,1221,,,,,,,,0,73,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,16,404-PCC000004-E,72,9,1339,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,1,10,34,0,,47,0
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,245,09-Feb-16,130-PCA000207-E,3,ASSEMBLY,1,3,,,,,
2014258159,2/11/2015,1594,2/12/2015,17,998-CFC000001-M,85,10,1221,41,15-May-15,103-PCA000027-E,80,ASSEMBLY,1,80,80,15,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,18,999-ACC000094-E,3200,414,1563,,,,,,,,0,0,,3274,340
2014258159,2/11/2015,1594,2/12/2015,19,999-AYC000062-E,200,4,1227,92,11-Jun-15,115-PCA000037-E,3,ASSEMBLY,2,6,62,0,,0,142
,,,,,,,,,95,13-Jun-15,115-PCA000037-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,109,19-Jun-15,115-PCA000037-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,120,30-Jun-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,125,02-Jul-15,115-PCA000037-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,146,15-Jul-15,115-PCA000037-E,6,ASSEMBLY,2,12,,,,,
,,,,,,,,,150,20-Jul-15,115-PCA000037-E,5,ASSEMBLY,2,10,,,,,
2014258159,2/11/2015,1594,2/12/2015,20,999-AYC000556-E,32,15,1578,78,03-Jun-15,170-PCA000084-E,20,ASSEMBLY,1,20,20,25,31,0,2
2014258159,2/11/2015,1594,2/12/2015,21,999-BEC000080-E,73,19,1202,,,,,,,,0,0,,90,2
2014258159,2/11/2015,1594,2/12/2015,22,999-CAC000718-E,100,42,1578,355,30-Mar-15,170-PCA000002-E,25,ASSEMBLY,3,75,111,31,1751,0,0
,,,,,,,,,9,14-Apr-15,170-PCA000002-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,14,17-Apr-15,170-PCA000002-E,3,ASSEMBLY,3,9,,,,,
,,,,,,,,,20,21-Apr-15,170-PCA000002-E,1,ASSEMBLY,3,3,,,,,
,,,,,,,,,27,24-Apr-15,170-PCA000002-E,5,ASSEMBLY,3,15,,,,,
,,,,,,,,,28,27-Apr-15,170-PCA000002-E,2,ASSEMBLY,3,6,,,,,
2014258159,2/11/2015,1594,2/12/2015,23,999-CECNSS002-M,660,38,1577,256,12-Mar-15,104-PCA000001-E,67,ASSEMBLY,1,67,698,0,1907,0,0
,,,,,,,,,258,13-Mar-15,104-PCA000001-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,269,14-Mar-15,170-PCA000084-E,25,ASSEMBLY,2,50,,,,,
,,,,,,,,,271,15-Mar-15,170-PCA000084-E,40,ASSEMBLY,2,80,,,,,
,,,,,,,,,275,16-Mar-15,170-PCA000084-E,60,ASSEMBLY,2,120,,,,,
,,,,,,,,,277,17-Mar-15,170-PCA000084-E,48,ASSEMBLY,2,96,,,,,
,,,,,,,,,286,18-Mar-15,170-PCA000084-E,7,ASSEMBLY,2,14,,,,,
,,,,,,,,,293,18-Mar-15,170-PCA000084-E,7,ASSEMBLY,2,14,,,,,
,,,,,,,,,306,25-Mar-15,104-PCA000001-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,311,26-Mar-15,104-PCA000001-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,319,27-Mar-15,104-PCA000001-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,321,28-Mar-15,104-PCA000001-E,35,ASSEMBLY,1,35,,,,,
,,,,,,,,,325,28-Mar-15,170-PCA000084-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,331,30-Mar-15,170-PCA000084-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,330,30-Mar-15,170-PCA000084-E,4,ASSEMBLY,2,8,,,,,
,,,,,,,,,360,30-Mar-15,170-PCA000084-E,8,ASSEMBLY,2,16,,,,,
,,,,,,,,,361,30-Mar-15,170-PCA000084-E,16,ASSEMBLY,2,32,,,,,
,,,,,,,,,362,30-Mar-15,170-PCA000084-E,20,ASSEMBLY,2,40,,,,,
,,,,,,,,,363,30-Mar-15,170-PCA000084-E,23,ASSEMBLY,2,46,,,,,
,,,,,,,,,364,30-Mar-15,170-PCA000084-E,20,ASSEMBLY,2,40,,,,,
,,,,,,,,,370,31-Mar-15,104-PCA000001-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,372,31-Mar-15,104-PCA000001-E,4,ASSEMBLY,1,4,,,,,
2014258159,2/11/2015,1594,2/12/2015,24,999-CECSMX014-M,600,116,1337,354,30-Mar-15,170-PCA000002-E,25,ASSEMBLY,6,150,633,83,1907,0,0
,,,,,,,,,355,30-Mar-15,170-PCA000002-E,25,ASSEMBLY,6,150,,,,,
,,,,,,,,,366,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,29,87,,,,,
,,,,,,,,,367,31-Mar-15,140-SKU000004-P,3,ASSEMBLY,29,87,,,,,
,,,,,,,,,9,14-Apr-15,170-PCA000002-E,1,ASSEMBLY,6,6,,,,,
,,,,,,,,,14,17-Apr-15,170-PCA000002-E,3,ASSEMBLY,6,18,,,,,
,,,,,,,,,20,21-Apr-15,170-PCA000002-E,1,ASSEMBLY,6,6,,,,,
,,,,,,,,,27,24-Apr-15,170-PCA000002-E,5,ASSEMBLY,6,30,,,,,
,,,,,,,,,28,27-Apr-15,170-PCA000002-E,2,ASSEMBLY,6,12,,,,,
,,,,,,,,,32,07-May-15,140-SKU000004-P,3,ASSEMBLY,29,87,,,,,
2014258159,2/11/2015,1594,2/12/2015,25,999-CECSMX015-M,218,48,1337,237,04-Mar-15,104-PCA000001-E,110,ASSEMBLY,2,220,222,44,1628,0,0
,,,,,,,,,238,04-Mar-15,115-PCA000084-E,1,ASSEMBLY,2,2,,,,,
2014258159,2/11/2015,1594,2/12/2015,26,999-CECSMX016-M,660,7,1337,267,14-Mar-15,115-PCA000037-E,4,ASSEMBLY,12,48,565,74,1907,28,0
,,,,,,,,,279,17-Mar-15,115-PCA000037-E,3,ASSEMBLY,12,36,,,,,
,,,,,,,,,280,17-Mar-15,115-PCA000037-E,1,ASSEMBLY,12,12,,,,,
,,,,,,,,,283,18-Mar-15,115-PCA000037-E,1,ASSEMBLY,12,12,,,,,
,,,,,,,,,295,19-Mar-15,115-PCA000037-E,1,ASSEMBLY,12,12,,,,,
,,,,,,,,,306,25-Mar-15,104-PCA000001-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,309,26-Mar-15,115-PCA000037-E,11,ASSEMBLY,12,132,,,,,
,,,,,,,,,311,26-Mar-15,104-PCA000001-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,319,27-Mar-15,104-PCA000001-E,10,ASSEMBLY,1,10,,,,,
,,,,,,,,,321,28-Mar-15,104-PCA000001-E,35,ASSEMBLY,1,35,,,,,
,,,,,,,,,326,30-Mar-15,115-PCA000037-E,5,ASSEMBLY,12,60,,,,,
,,,,,,,,,337,30-Mar-15,115-PCA000037-E,15,ASSEMBLY,12,180,,,,,
,,,,,,,,,370,31-Mar-15,104-PCA000001-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,372,31-Mar-15,104-PCA000001-E,4,ASSEMBLY,1,4,,,,,
,,,,,,,,,3,07-Apr-15,104-PCA000001-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,15,17-Apr-15,104-PCA000001-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,25,22-Apr-15,104-PCA000001-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,30,04-May-15,104-PCA000001-E,1,ASSEMBLY,1,1,,,,,
2014258159,2/11/2015,1594,2/12/2015,27,999-CECSMX017-M,200,10,1221,41,15-May-15,103-PCA000027-E,80,ASSEMBLY,2,160,160,1,1907,49,0
2014258159,2/11/2015,1594,2/12/2015,28,999-CECSMX021-M,1150,51,1337,274,16-Mar-15,170-PCA000002-E,50,ASSEMBLY,12,600,1104,97,1907,0,0
,,,,,,,,,278,17-Mar-15,170-PCA000002-E,41,ASSEMBLY,12,492,,,,,
,,,,,,,,,304,25-Mar-15,170-PCA000002-E,1,ASSEMBLY,12,12,,,,,
2014258159,2/11/2015,1594,2/12/2015,29,999-CECSPP025-M,50,3,1337,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,2,10,48,0,,5,0
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,2,20,,,,,
,,,,,,,,,245,09-Feb-16,130-PCA000207-E,3,ASSEMBLY,2,6,,,,,
2014258159,2/11/2015,1594,2/12/2015,30,999-CECSPP070-M,110,26,1337,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,4,40,136,0,,0,0
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,4,20,,,,,
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,4,8,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,4,4,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,4,4,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,4,4,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,4,4,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,4,40,,,,,
,,,,,,,,,245,09-Feb-16,130-PCA000207-E,3,ASSEMBLY,4,12,,,,,
2014258159,2/11/2015,1594,2/12/2015,31,999-CECSPX007-M,300,52,1211,41,15-May-15,103-PCA000027-E,80,ASSEMBLY,3,240,240,112,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,32,999-CECSPX009-M,50,0,1386,344,30-Mar-15,130-PCA000207-E,6,ASSEMBLY,2,12,48,2,1907,0,0
,,,,,,,,,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,2,20,,,,,
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,2,4,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,2,2,,,,,
2014258159,2/11/2015,1594,2/12/2015,33,999-CECSPX054-M,280,8,1337,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,12,60,288,0,,0,0
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,12,24,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,12,12,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,12,12,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,12,12,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,12,12,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,10,ASSEMBLY,12,120,,,,,
,,,,,,,,,245,09-Feb-16,130-PCA000207-E,3,ASSEMBLY,12,36,,,,,
2014258159,2/11/2015,1594,2/12/2015,34,999-CFC000005-M,85,10,1221,41,15-May-15,103-PCA000027-E,80,ASSEMBLY,1,80,80,15,1907,0,0
2014258159,2/11/2015,1594,2/12/2015,35,999-CFC000022-M,770,60,1342,205,20-Feb-15,104-PCA000003-E,100,ASSEMBLY,1,100,820,10,31,0,0
,,,,,,,,,210,21-Feb-15,104-PCA000003-E,140,ASSEMBLY,1,140,,,,,
,,,,,,,,,212,23-Feb-15,104-PCA000003-E,260,ASSEMBLY,1,260,,,,,
,,,,,,,,,215,24-Feb-15,104-PCA000003-E,100,ASSEMBLY,1,100,,,,,
,,,,,,,,,218,25-Feb-15,104-PCA000003-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,228,27-Feb-15,104-PCA000003-E,27,ASSEMBLY,1,27,,,,,
,,,,,,,,,235,03-Mar-15,104-PCA000003-E,40,ASSEMBLY,1,40,,,,,
,,,,,,,,,236,04-Mar-15,104-PCA000003-E,20,ASSEMBLY,1,20,,,,,
,,,,,,,,,242,06-Mar-15,104-PCA000003-E,8,ASSEMBLY,1,8,,,,,
,,,,,,,,,245,07-Mar-15,104-PCA000003-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,253,09-Mar-15,104-PCA000003-E,7,ASSEMBLY,1,7,,,,,
,,,,,,,,,260,13-Mar-15,115-PCA000039-E,1,ASSEMBLY,2,2,,,,,
,,,,,,,,,264,13-Mar-15,104-PCA000003-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,327,30-Mar-15,115-PCA000039-E,5,ASSEMBLY,2,10,,,,,
,,,,,,,,,339,30-Mar-15,115-PCA000039-E,3,ASSEMBLY,2,6,,,,,
,,,,,,,,,340,30-Mar-15,115-PCA000039-E,16,ASSEMBLY,2,32,,,,,
,,,,,,,,,332,30-Mar-15,104-PCA000003-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,8,14-Apr-15,104-PCA000003-E,3,ASSEMBLY,1,3,,,,,
,,,,,,,,,18,21-Apr-15,104-PCA000003-E,11,ASSEMBLY,1,11,,,,,
,,,,,,,,,22,22-Apr-15,104-PCA000003-E,14,ASSEMBLY,1,14,,,,,
,,,,,,,,,69,31-May-15,104-PCA000003-E,14,ASSEMBLY,1,14,,,,,
2014258159,2/11/2015,1594,2/12/2015,36,999-CFC000037-M,155,9,1337,274,16-Mar-15,170-PCA000002-E,50,ASSEMBLY,2,100,100,64,1981,0,0
2014258159,2/11/2015,1594,2/12/2015,37,999-CFC000120-M,14,9,1342,345,30-Mar-15,130-PCA000207-E,10,ASSEMBLY,1,10,21,2,1907,0,0
,,,,,,,,,346,30-Mar-15,130-PCA000207-E,5,ASSEMBLY,1,5,,,,,
,,,,,,,,,42,18-May-15,130-PCA000207-E,2,ASSEMBLY,1,2,,,,,
,,,,,,,,,45,19-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,49,22-May-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,196,21-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,
,,,,,,,,,198,25-Sep-15,130-PCA000207-E,1,ASSEMBLY,1,1,,,,,


,,Total Quantity,11218
,,Total Consumption,6260
,,Total Scrap,490
,,Total Returned,3575
,,Total Balance,893
